Time,Resistance,Cycle
0.341,94565509.31092006,Pre-Cycle
1.873,-12855621.853425857,Pre-Cycle
3.393,-16066742.533824911,Pre-Cycle
4.928,-11365603.387949985,Pre-Cycle
6.501,13510457.228999818,Pre-Cycle
8.012,11305757.30993524,Pre-Cycle
9.549,16632437.11109204,Pre-Cycle
11.125,11697178.757455489,Run-On Cycle (Repeat 1)
12.984,13390462.402125765,Run-On Cycle (Repeat 1)
14.518,81667053.22405192,Run-On Cycle (Repeat 1)
16.033,-50721847.979520544,Run-On Cycle (Repeat 1)
17.574,36774440.29301874,Run-On Cycle (Repeat 1)
19.11,-107825325.99100368,Run-On Cycle (Repeat 1)
20.604,11355751.858652685,Run-On Cycle (Repeat 1)
22.153,-18559721.09935909,Off Cycle (Repeat 1)
24.02,11291584.506274903,Off Cycle (Repeat 1)
25.559,-13217482.976212362,Off Cycle (Repeat 1)
27.087,13393825.205491416,Off Cycle (Repeat 1)
28.625,-11684701.419071931,Off Cycle (Repeat 1)
30.202,20617498.194422595,Off Cycle (Repeat 1)
31.78,23788804.89326201,Off Cycle (Repeat 1)
33.278,14139411.772191454,Run-On Cycle (Repeat 2)
35.181,-11416098.525496714,Run-On Cycle (Repeat 2)
36.716,-119971686.68194307,Run-On Cycle (Repeat 2)
38.251,19643625.34891989,Run-On Cycle (Repeat 2)
39.748,-16877711.19333182,Run-On Cycle (Repeat 2)
41.3,-11976578.6028842,Run-On Cycle (Repeat 2)
42.83,13372278.757988095,Run-On Cycle (Repeat 2)
44.349,-11495543.809919804,Off Cycle (Repeat 2)
46.197,13493297.272046598,Off Cycle (Repeat 2)
47.726,11307664.708292216,Off Cycle (Repeat 2)
49.295,86702521.04920454,Off Cycle (Repeat 2)
50.817,-62368674.9587899,Off Cycle (Repeat 2)
52.347,-14751007.420051754,Off Cycle (Repeat 2)
53.881,-122363330.25507982,Off Cycle (Repeat 2)
