Time,Resistance,Cycle
0.341,0.9999610015209408,Pre-Cycle
1.873,0.9999530022088964,Pre-Cycle
3.393,0.9999440031358244,Pre-Cycle
4.928,0.999982000323994,Pre-Cycle
6.501,0.9999890001209988,Pre-Cycle
8.012,0.9999610015209408,Pre-Cycle
9.549,0.9999830002889952,Pre-Cycle
11.125,0.9999730007289804,Run-On Cycle (Repeat 1)
12.984,0.9999730007289804,Run-On Cycle (Repeat 1)
14.518,0.9999940000359998,Run-On Cycle (Repeat 1)
16.033,0.9999390037207728,Run-On Cycle (Repeat 1)
17.574,0.9999580017639258,Run-On Cycle (Repeat 1)
19.11,0.999997000009,Run-On Cycle (Repeat 1)
20.604,0.9999810003609932,Run-On Cycle (Repeat 1)
22.153,0.9999890001209988,Off Cycle (Repeat 1)
24.02,0.9999110079202952,Off Cycle (Repeat 1)
25.559,0.9999880001439984,Off Cycle (Repeat 1)
27.087,0.9999880001439984,Off Cycle (Repeat 1)
28.625,0.9999790004409906,Off Cycle (Repeat 1)
30.202,0.999967001088964,Off Cycle (Repeat 1)
31.78,0.9999610015209408,Off Cycle (Repeat 1)
33.278,0.999967001088964,Run-On Cycle (Repeat 2)
35.181,0.9999650012249572,Run-On Cycle (Repeat 2)
36.716,0.9999550020249088,Run-On Cycle (Repeat 2)
38.251,0.9999730007289804,Run-On Cycle (Repeat 2)
39.748,0.9999810003609932,Run-On Cycle (Repeat 2)
41.3,0.9999740006759824,Run-On Cycle (Repeat 2)
42.83,0.9999520023038894,Run-On Cycle (Repeat 2)
44.349,0.999967001088964,Off Cycle (Repeat 2)
46.197,0.9999520023038894,Off Cycle (Repeat 2)
47.726,0.9999610015209408,Off Cycle (Repeat 2)
49.295,0.9999470028088512,Off Cycle (Repeat 2)
50.817,0.999982000323994,Off Cycle (Repeat 2)
52.347,0.9999580017639258,Off Cycle (Repeat 2)
53.881,0.9999460029158426,Off Cycle (Repeat 2)
