Time,Resistance,Cycle
0.341,-26518938.49992973,Pre-Cycle
1.873,15658362.097744508,Pre-Cycle
3.393,698480595.1613455,Pre-Cycle
4.928,13587322.050239936,Pre-Cycle
6.501,-16968119.44877367,Pre-Cycle
8.012,-13298894.516094455,Pre-Cycle
9.549,-17665044.95665616,Pre-Cycle
11.125,-14435749.15114186,Run-On Cycle (Repeat 1)
12.984,-18994961.396539956,Run-On Cycle (Repeat 1)
14.518,103780064.30627903,Run-On Cycle (Repeat 1)
16.033,16466640.89088479,Run-On Cycle (Repeat 1)
17.574,-11507380.54619782,Run-On Cycle (Repeat 1)
19.11,-62194817.80339099,Run-On Cycle (Repeat 1)
20.604,13588564.624971244,Run-On Cycle (Repeat 1)
22.153,-25117405.030463647,Off Cycle (Repeat 1)
24.02,-12685649.72663059,Off Cycle (Repeat 1)
25.559,22558921.647450976,Off Cycle (Repeat 1)
27.087,55542379.66882301,Off Cycle (Repeat 1)
28.625,13558445.101245657,Off Cycle (Repeat 1)
30.202,-12081626.853880337,Off Cycle (Repeat 1)
31.78,53453925.389010936,Off Cycle (Repeat 1)
33.278,-11589049.970245115,Run-On Cycle (Repeat 2)
35.181,13457948.553761745,Run-On Cycle (Repeat 2)
36.716,24040507.293168698,Run-On Cycle (Repeat 2)
38.251,-109484236.18596336,Run-On Cycle (Repeat 2)
39.748,50402108.01776574,Run-On Cycle (Repeat 2)
41.3,17310265.212304343,Run-On Cycle (Repeat 2)
42.83,-14507237.733441403,Run-On Cycle (Repeat 2)
44.349,-11742997.914561002,Off Cycle (Repeat 2)
46.197,-13608908.28249045,Off Cycle (Repeat 2)
47.726,-12129024.683292972,Off Cycle (Repeat 2)
49.295,24300810.9909652,Off Cycle (Repeat 2)
50.817,13602695.72782856,Off Cycle (Repeat 2)
52.347,11438081.376229951,Off Cycle (Repeat 2)
53.881,24542509.22123428,Off Cycle (Repeat 2)
