Time,Resistance,Cycle
0.341,0.999961002,Pre-Cycle
1.873,0.999953002,Pre-Cycle
3.393,0.999944003,Pre-Cycle
4.928,0.999982,Pre-Cycle
6.501,0.999989,Pre-Cycle
8.012,0.999961002,Pre-Cycle
9.549,0.999983,Pre-Cycle
11.125,0.999973001,Run-On Cycle (Repeat 1)
12.984,0.999973001,Run-On Cycle (Repeat 1)
14.518,0.999994,Run-On Cycle (Repeat 1)
16.033,0.999939004,Run-On Cycle (Repeat 1)
17.574,0.999958002,Run-On Cycle (Repeat 1)
19.11,0.999997,Run-On Cycle (Repeat 1)
20.604,0.999981,Run-On Cycle (Repeat 1)
22.153,0.999989,Off Cycle (Repeat 1)
24.02,0.999911008,Off Cycle (Repeat 1)
25.559,0.999988,Off Cycle (Repeat 1)
27.087,0.999988,Off Cycle (Repeat 1)
28.625,0.999979,Off Cycle (Repeat 1)
30.202,0.999967001,Off Cycle (Repeat 1)
31.78,0.999961002,Off Cycle (Repeat 1)
33.278,0.999967001,Run-On Cycle (Repeat 2)
35.181,0.999965001,Run-On Cycle (Repeat 2)
36.716,0.999955002,Run-On Cycle (Repeat 2)
38.251,0.999973001,Run-On Cycle (Repeat 2)
39.748,0.999981,Run-On Cycle (Repeat 2)
41.3,0.999974001,Run-On Cycle (Repeat 2)
42.83,0.999952002,Run-On Cycle (Repeat 2)
44.349,0.999967001,Off Cycle (Repeat 2)
46.197,0.999952002,Off Cycle (Repeat 2)
47.726,0.999961002,Off Cycle (Repeat 2)
49.295,0.999947003,Off Cycle (Repeat 2)
50.817,0.999982,Off Cycle (Repeat 2)
52.347,0.999958002,Off Cycle (Repeat 2)
53.881,0.999946003,Off Cycle (Repeat 2)
