Time,Resistance,Cycle
0.341,34338583.93,Pre-Cycle
1.873,-14497670.22,Pre-Cycle
3.393,35163821.21,Pre-Cycle
4.928,-13958715.42,Pre-Cycle
6.501,12193093.73,Pre-Cycle
8.012,-106714827.8,Pre-Cycle
9.549,-17602633.92,Pre-Cycle
11.125,-14121126.5,Run-On Cycle (Repeat 1)
12.984,12592510.88,Run-On Cycle (Repeat 1)
14.518,-12255394.58,Run-On Cycle (Repeat 1)
16.033,-13961285.91,Run-On Cycle (Repeat 1)
17.574,-12233065.34,Run-On Cycle (Repeat 1)
19.11,11913445.96,Run-On Cycle (Repeat 1)
20.604,12741926.17,Run-On Cycle (Repeat 1)
22.153,-67638999.84,Off Cycle (Repeat 1)
24.02,13754688.97,Off Cycle (Repeat 1)
25.559,-15577612.42,Off Cycle (Repeat 1)
27.087,-13025533.04,Off Cycle (Repeat 1)
28.625,-13952576.59,Off Cycle (Repeat 1)
30.202,-12305116.18,Off Cycle (Repeat 1)
31.78,-12690112.16,Off Cycle (Repeat 1)
33.278,12435313.06,Run-On Cycle (Repeat 2)
35.181,-13238573.39,Run-On Cycle (Repeat 2)
36.716,3626126093.0,Run-On Cycle (Repeat 2)
38.251,-13094001.18,Run-On Cycle (Repeat 2)
39.748,12121060.79,Run-On Cycle (Repeat 2)
41.3,-13481369.56,Run-On Cycle (Repeat 2)
42.83,-17837057.06,Run-On Cycle (Repeat 2)
44.349,13771363.69,Off Cycle (Repeat 2)
46.197,130511926.5,Off Cycle (Repeat 2)
47.726,2962545134.0,Off Cycle (Repeat 2)
49.295,-12958425.35,Off Cycle (Repeat 2)
50.817,13966509.71,Off Cycle (Repeat 2)
52.347,-12069105.77,Off Cycle (Repeat 2)
53.881,42964683.46,Off Cycle (Repeat 2)
