Time,Resistance,Cycle
0.341,12181003.87063579,Pre-Cycle
1.873,85325760.95646766,Pre-Cycle
3.393,14173934.587858835,Pre-Cycle
4.928,-14977169.551594028,Pre-Cycle
6.501,226368641.7858856,Pre-Cycle
8.012,19378808.42032481,Pre-Cycle
9.549,-45672235.93911708,Pre-Cycle
11.125,18381761.61612448,Run-On Cycle (Repeat 1)
12.984,-1274873742.8788738,Run-On Cycle (Repeat 1)
14.518,-24837981.844428796,Run-On Cycle (Repeat 1)
16.033,-13305777.954241963,Run-On Cycle (Repeat 1)
17.574,-29114709.042155188,Run-On Cycle (Repeat 1)
19.11,42204332.274708,Run-On Cycle (Repeat 1)
20.604,-17504830.02022333,Run-On Cycle (Repeat 1)
22.153,13888950.6175583,Off Cycle (Repeat 1)
24.02,11940135.979044585,Off Cycle (Repeat 1)
25.559,-50263178.00000804,Off Cycle (Repeat 1)
27.087,-32445189.530196898,Off Cycle (Repeat 1)
28.625,-24145695.124380518,Off Cycle (Repeat 1)
30.202,13026931.226270633,Off Cycle (Repeat 1)
31.78,-21852325.480773013,Off Cycle (Repeat 1)
33.278,61430570.5548532,Run-On Cycle (Repeat 2)
35.181,-22708321.600700505,Run-On Cycle (Repeat 2)
36.716,-12826072.429600574,Run-On Cycle (Repeat 2)
38.251,-104140349.53250356,Run-On Cycle (Repeat 2)
39.748,36395134.69839352,Run-On Cycle (Repeat 2)
41.3,-14057988.923148207,Run-On Cycle (Repeat 2)
42.83,230642146.94626337,Run-On Cycle (Repeat 2)
44.349,16031120.894369822,Off Cycle (Repeat 2)
46.197,35766888.58828806,Off Cycle (Repeat 2)
47.726,13871247.359434675,Off Cycle (Repeat 2)
49.295,-15466023.774990387,Off Cycle (Repeat 2)
50.817,31813982.37250865,Off Cycle (Repeat 2)
52.347,-13633965.91753932,Off Cycle (Repeat 2)
53.881,-15156509.910462916,Off Cycle (Repeat 2)
