Time,Resistance,Cycle
0.341,34338583.93174039,Pre-Cycle
1.873,-14497670.22439494,Pre-Cycle
3.393,35163821.210254334,Pre-Cycle
4.928,-13958715.42408741,Pre-Cycle
6.501,12193093.73416422,Pre-Cycle
8.012,-106714827.7798759,Pre-Cycle
9.549,-17602633.917318314,Pre-Cycle
11.125,-14121126.50439421,Run-On Cycle (Repeat 1)
12.984,12592510.881188652,Run-On Cycle (Repeat 1)
14.518,-12255394.579586042,Run-On Cycle (Repeat 1)
16.033,-13961285.912615754,Run-On Cycle (Repeat 1)
17.574,-12233065.339493254,Run-On Cycle (Repeat 1)
19.11,11913445.955903336,Run-On Cycle (Repeat 1)
20.604,12741926.174044264,Run-On Cycle (Repeat 1)
22.153,-67638999.83563723,Off Cycle (Repeat 1)
24.02,13754688.973471057,Off Cycle (Repeat 1)
25.559,-15577612.416229442,Off Cycle (Repeat 1)
27.087,-13025533.04063224,Off Cycle (Repeat 1)
28.625,-13952576.58743696,Off Cycle (Repeat 1)
30.202,-12305116.184291756,Off Cycle (Repeat 1)
31.78,-12690112.156480247,Off Cycle (Repeat 1)
33.278,12435313.055897355,Run-On Cycle (Repeat 2)
35.181,-13238573.39014976,Run-On Cycle (Repeat 2)
36.716,3626126093.458324,Run-On Cycle (Repeat 2)
38.251,-13094001.179769509,Run-On Cycle (Repeat 2)
39.748,12121060.791604662,Run-On Cycle (Repeat 2)
41.3,-13481369.556155566,Run-On Cycle (Repeat 2)
42.83,-17837057.056821372,Run-On Cycle (Repeat 2)
44.349,13771363.688632222,Off Cycle (Repeat 2)
46.197,130511926.50612396,Off Cycle (Repeat 2)
47.726,2962545134.375122,Off Cycle (Repeat 2)
49.295,-12958425.35435138,Off Cycle (Repeat 2)
50.817,13966509.706375085,Off Cycle (Repeat 2)
52.347,-12069105.76857393,Off Cycle (Repeat 2)
53.881,42964683.459842846,Off Cycle (Repeat 2)
