Time,Resistance,Cycle
0.341,-11319818.38,Pre-Cycle
1.873,-34552972.64,Pre-Cycle
3.393,-17034646.26,Pre-Cycle
4.928,37717929.48,Pre-Cycle
6.501,-11378206.93,Pre-Cycle
8.012,-2043200617.0,Pre-Cycle
9.549,25844294.33,Pre-Cycle
11.125,48412482.09,Run-On Cycle (Repeat 1)
12.984,-17743530.4,Run-On Cycle (Repeat 1)
14.518,11502046.5,Run-On Cycle (Repeat 1)
16.033,11171991.01,Run-On Cycle (Repeat 1)
17.574,11761660.3,Run-On Cycle (Repeat 1)
19.11,-11156950.06,Run-On Cycle (Repeat 1)
20.604,25328805.89,Run-On Cycle (Repeat 1)
22.153,-23035078.97,Off Cycle (Repeat 1)
24.02,-11291589.61,Off Cycle (Repeat 1)
25.559,-85052166.75,Off Cycle (Repeat 1)
27.087,16712928.05,Off Cycle (Repeat 1)
28.625,380109045.7,Off Cycle (Repeat 1)
30.202,13853280.19,Off Cycle (Repeat 1)
31.78,11350576.75,Off Cycle (Repeat 1)
33.278,-14046843.7,Run-On Cycle (Repeat 2)
35.181,145350168.2,Run-On Cycle (Repeat 2)
36.716,101470901.9,Run-On Cycle (Repeat 2)
38.251,28649748.8,Run-On Cycle (Repeat 2)
39.748,-11466129.23,Run-On Cycle (Repeat 2)
41.3,13099294.35,Run-On Cycle (Repeat 2)
42.83,37002337.07,Run-On Cycle (Repeat 2)
44.349,-22644394.24,Off Cycle (Repeat 2)
46.197,43300840.38,Off Cycle (Repeat 2)
47.726,-16079908.14,Off Cycle (Repeat 2)
49.295,11138436.17,Off Cycle (Repeat 2)
50.817,-28985095.57,Off Cycle (Repeat 2)
52.347,15818797.57,Off Cycle (Repeat 2)
53.881,15529170.46,Off Cycle (Repeat 2)
