Time,Resistance,Cycle
0.341,-11319818.375778124,Pre-Cycle
1.873,-34552972.64406603,Pre-Cycle
3.393,-17034646.25598065,Pre-Cycle
4.928,37717929.48180469,Pre-Cycle
6.501,-11378206.93340142,Pre-Cycle
8.012,-2043200616.556218,Pre-Cycle
9.549,25844294.32929663,Pre-Cycle
11.125,48412482.09343319,Run-On Cycle (Repeat 1)
12.984,-17743530.398304995,Run-On Cycle (Repeat 1)
14.518,11502046.501623802,Run-On Cycle (Repeat 1)
16.033,11171991.014144188,Run-On Cycle (Repeat 1)
17.574,11761660.304196524,Run-On Cycle (Repeat 1)
19.11,-11156950.060264263,Run-On Cycle (Repeat 1)
20.604,25328805.893709183,Run-On Cycle (Repeat 1)
22.153,-23035078.97000948,Off Cycle (Repeat 1)
24.02,-11291589.606272431,Off Cycle (Repeat 1)
25.559,-85052166.74647395,Off Cycle (Repeat 1)
27.087,16712928.051513253,Off Cycle (Repeat 1)
28.625,380109045.6830256,Off Cycle (Repeat 1)
30.202,13853280.186609223,Off Cycle (Repeat 1)
31.78,11350576.75118117,Off Cycle (Repeat 1)
33.278,-14046843.695291936,Run-On Cycle (Repeat 2)
35.181,145350168.1774121,Run-On Cycle (Repeat 2)
36.716,101470901.89975852,Run-On Cycle (Repeat 2)
38.251,28649748.79900253,Run-On Cycle (Repeat 2)
39.748,-11466129.226257574,Run-On Cycle (Repeat 2)
41.3,13099294.35411244,Run-On Cycle (Repeat 2)
42.83,37002337.06760919,Run-On Cycle (Repeat 2)
44.349,-22644394.24433845,Off Cycle (Repeat 2)
46.197,43300840.38271015,Off Cycle (Repeat 2)
47.726,-16079908.138700789,Off Cycle (Repeat 2)
49.295,11138436.17024476,Off Cycle (Repeat 2)
50.817,-28985095.57400489,Off Cycle (Repeat 2)
52.347,15818797.572067674,Off Cycle (Repeat 2)
53.881,15529170.459666552,Off Cycle (Repeat 2)
